マスター,地名,よみがな
6,菅城下,すげしろした
6,菅仙谷,すげせんごく
6,菅野戸呂,すげのとろ
6,菅馬場,すげばんば
6,堰,せき
6,寺尾台,てらおだい
6,長尾,ながお
6,長沢,ながさわ
6,中野島,なかのしま
6,西生田,にしいくた
6,登戸,のぼりと
6,登戸新町,のぼりとしんまち
6,東生田,ひがしいくた
6,東三田,ひがしみた
6,布田,ふだ
6,枡形,ますがた
6,三田,みた
6,南生田,みなみいくた
7,王禅寺,おうぜんじ
7,王禅寺西,おうぜんじにし
7,王禅寺東,おうぜんじひがし
7,岡上,おかがみ
7,片平,かたひら
7,金程,かなほど
7,上麻生,かみあさお
7,栗木,くりぎ
7,栗木台,くりぎだい
7,栗平,くりひら
7,黒川,くろかわ
7,五力田,ごりきだ
7,下麻生,しもあさお
7,白鳥,しらとり
7,高石,たかいし
7,多摩美,たまみ
7,千代ヶ丘,ちよがおか
7,虹ヶ丘,にじがおか
7,白山,はくさん
7,早野,はやの
7,はるひ野,はるひの
7,東百合丘,ひがしゆりがおか
7,古沢,ふるさわ
7,細山,ほそやま
7,万福寺,まんぷくじ
7,南黒川,みなみくろかわ
7,向原,むかいばら
7,百合丘,ゆりがおか
